,Cluster Assignment,Sensor1,Sensor2
0,1.0,1.000000000000000000e+00,1.000000000000000000e+00
1,1.0,1.052335956242943737e+00,1.052335956242943737e+00
2,1.0,1.104528463267653526e+00,1.104528463267653526e+00
3,1.0,1.156434465040230952e+00,1.156434465040230952e+00
4,1.0,1.207911690817759398e+00,1.207911690817759398e+00
5,1.0,1.258819045102520739e+00,1.258819045102520739e+00
6,1.0,1.309016994374947451e+00,1.309016994374947451e+00
7,1.0,1.358367949545300268e+00,1.358367949545300268e+00
8,1.0,1.406736643075800153e+00,1.406736643075800153e+00
9,1.0,1.453990499739546749e+00,1.453990499739546749e+00
10,1.0,1.500000000000000000e+00,1.500000000000000000e+00
11,1.0,1.544639035015026973e+00,1.544639035015026973e+00
12,1.0,1.587785252292473137e+00,1.587785252292473137e+00
13,1.0,1.629320391049837280e+00,1.629320391049837280e+00
14,1.0,1.669130606358858238e+00,1.669130606358858238e+00
15,1.0,1.707106781186547462e+00,1.707106781186547462e+00
16,1.0,1.743144825477394244e+00,1.743144825477394244e+00
17,1.0,1.777145961456970902e+00,1.777145961456970902e+00
18,1.0,1.809016994374947451e+00,1.809016994374947451e+00
19,1.0,1.838670567945424050e+00,1.838670567945424050e+00
20,1.0,1.866025403784438597e+00,1.866025403784438597e+00
21,1.0,1.891006524188367788e+00,1.891006524188367788e+00
22,1.0,1.913545457642600756e+00,1.913545457642600756e+00
23,1.0,1.933580426497201632e+00,1.933580426497201632e+00
24,1.0,1.951056516295153642e+00,1.951056516295153642e+00
25,1.0,1.965925826289068201e+00,1.965925826289068201e+00
26,1.0,1.978147600733805689e+00,1.978147600733805689e+00
27,1.0,1.987688340595137770e+00,1.987688340595137770e+00
28,1.0,1.994521895368273290e+00,1.994521895368273290e+00
29,1.0,1.998629534754573722e+00,1.998629534754573722e+00
30,1.0,2.000000000000000000e+00,2.000000000000000000e+00
31,1.0,1.998629534754573722e+00,1.998629534754573722e+00
32,1.0,1.994521895368273290e+00,1.994521895368273290e+00
33,1.0,1.987688340595137770e+00,1.987688340595137770e+00
34,1.0,1.978147600733805689e+00,1.978147600733805689e+00
35,1.0,1.965925826289068201e+00,1.965925826289068201e+00
36,1.0,1.951056516295153642e+00,1.951056516295153642e+00
37,1.0,1.933580426497201632e+00,1.933580426497201632e+00
38,1.0,1.913545457642600756e+00,1.913545457642600756e+00
39,1.0,1.891006524188367788e+00,1.891006524188367788e+00
40,1.0,1.866025403784438819e+00,1.866025403784438819e+00
41,1.0,1.838670567945424050e+00,1.838670567945424050e+00
42,1.0,1.809016994374947451e+00,1.809016994374947451e+00
43,1.0,1.777145961456970902e+00,1.777145961456970902e+00
44,1.0,1.743144825477394244e+00,1.743144825477394244e+00
45,1.0,1.707106781186547462e+00,1.707106781186547462e+00
46,1.0,1.669130606358858460e+00,1.669130606358858460e+00
47,1.0,1.629320391049837280e+00,1.629320391049837280e+00
48,1.0,1.587785252292473359e+00,1.587785252292473359e+00
49,1.0,1.544639035015027417e+00,1.544639035015027417e+00
50,1.0,1.500000000000000000e+00,1.500000000000000000e+00
51,1.0,1.453990499739546749e+00,1.453990499739546749e+00
52,1.0,1.406736643075800375e+00,1.406736643075800375e+00
53,1.0,1.358367949545300268e+00,1.358367949545300268e+00
54,1.0,1.309016994374947451e+00,1.309016994374947451e+00
55,1.0,1.258819045102520962e+00,1.258819045102520962e+00
56,1.0,1.207911690817759398e+00,1.207911690817759398e+00
57,1.0,1.156434465040230952e+00,1.156434465040230952e+00
58,1.0,1.104528463267653748e+00,1.104528463267653748e+00
59,1.0,1.052335956242943737e+00,1.052335956242943737e+00
60,1.0,1.000000000000000222e+00,1.000000000000000222e+00
61,1.0,9.476640437570564846e-01,9.476640437570564846e-01
62,1.0,8.954715367323464736e-01,8.954715367323464736e-01
63,1.0,8.435655349597692698e-01,8.435655349597692698e-01
64,1.0,7.920883091822404909e-01,7.920883091822404909e-01
65,1.0,7.411809548974792605e-01,7.411809548974792605e-01
66,1.0,6.909830056250527708e-01,6.909830056250527708e-01
67,1.0,6.416320504546995096e-01,6.416320504546995096e-01
68,1.0,5.932633569241998472e-01,5.932633569241998472e-01
69,1.0,5.460095002604533621e-01,5.460095002604533621e-01
70,1.0,4.999999999999998890e-01,4.999999999999998890e-01
71,1.0,4.553609649849729157e-01,4.553609649849729157e-01
72,1.0,4.122147477075269739e-01,4.122147477075269739e-01
73,1.0,3.706796089501623870e-01,3.706796089501623870e-01
74,1.0,3.308693936411417624e-01,3.308693936411417624e-01
75,1.0,2.928932188134525383e-01,2.928932188134525383e-01
76,1.0,2.568551745226056449e-01,2.568551745226056449e-01
77,1.0,2.228540385430294313e-01,2.228540385430294313e-01
78,1.0,1.909830056250526598e-01,1.909830056250526598e-01
79,1.0,1.613294320545759497e-01,1.613294320545759497e-01
80,1.0,1.339745962155616255e-01,1.339745962155616255e-01
81,1.0,1.089934758116322122e-01,1.089934758116322122e-01
82,1.0,8.645454235739902238e-02,8.645454235739902238e-02
83,1.0,6.641957350279836803e-02,6.641957350279836803e-02
84,1.0,4.894348370484646882e-02,4.894348370484646882e-02
85,1.0,3.407417371093168779e-02,3.407417371093168779e-02
86,1.0,2.185239926619442219e-02,2.185239926619442219e-02
87,1.0,1.231165940486234067e-02,1.231165940486234067e-02
88,1.0,5.478104631726599116e-03,5.478104631726599116e-03
89,1.0,1.370465245426166767e-03,1.370465245426166767e-03
90,1.0,0.000000000000000000e+00,0.000000000000000000e+00
91,1.0,1.370465245426166767e-03,1.370465245426166767e-03
92,1.0,5.478104631726599116e-03,5.478104631726599116e-03
93,1.0,1.231165940486222965e-02,1.231165940486222965e-02
94,1.0,2.185239926619442219e-02,2.185239926619442219e-02
95,1.0,3.407417371093157676e-02,3.407417371093157676e-02
96,1.0,4.894348370484635780e-02,4.894348370484635780e-02
97,1.0,6.641957350279825700e-02,6.641957350279825700e-02
98,1.0,8.645454235739891136e-02,8.645454235739891136e-02
99,1.0,1.089934758116319902e-01,1.089934758116319902e-01
100,1.0,1.339745962155614034e-01,1.339745962155614034e-01
101,1.0,1.613294320545757277e-01,1.613294320545757277e-01
102,1.0,1.909830056250524377e-01,1.909830056250524377e-01
103,1.0,2.228540385430292092e-01,2.228540385430292092e-01
104,1.0,2.568551745226054228e-01,2.568551745226054228e-01
105,1.0,2.928932188134523162e-01,2.928932188134523162e-01
106,1.0,3.308693936411418735e-01,3.308693936411418735e-01
107,1.0,3.706796089501621649e-01,3.706796089501621649e-01
108,1.0,4.122147477075266409e-01,4.122147477075266409e-01
109,1.0,4.553609649849730268e-01,4.553609649849730268e-01
110,1.0,4.999999999999995559e-01,4.999999999999995559e-01
111,1.0,5.460095002604530290e-01,5.460095002604530290e-01
112,1.0,5.932633569241998472e-01,5.932633569241998472e-01
113,1.0,6.416320504546992876e-01,6.416320504546992876e-01
114,1.0,6.909830056250523267e-01,6.909830056250523267e-01
115,1.0,7.411809548974792605e-01,7.411809548974792605e-01
116,1.0,7.920883091822401578e-01,7.920883091822401578e-01
117,1.0,8.435655349597689368e-01,8.435655349597689368e-01
118,1.0,8.954715367323465847e-01,8.954715367323465847e-01
119,1.0,9.476640437570555964e-01,9.476640437570555964e-01
120,1.0,9.999999999999997780e-01,9.999999999999997780e-01
121,1.0,1.052335956242943960e+00,1.052335956242943960e+00
122,1.0,1.104528463267652860e+00,1.104528463267652860e+00
123,1.0,1.156434465040230730e+00,1.156434465040230730e+00
124,1.0,1.207911690817759398e+00,1.207911690817759398e+00
125,1.0,1.258819045102520295e+00,1.258819045102520295e+00
126,1.0,1.309016994374947229e+00,1.309016994374947229e+00
127,1.0,1.358367949545300268e+00,1.358367949545300268e+00
128,1.0,1.406736643075800597e+00,1.406736643075800597e+00
129,1.0,1.453990499739546527e+00,1.453990499739546527e+00
130,1.0,1.500000000000000000e+00,1.500000000000000000e+00
131,1.0,1.544639035015027417e+00,1.544639035015027417e+00
132,1.0,1.587785252292472915e+00,1.587785252292472915e+00
133,1.0,1.629320391049837502e+00,1.629320391049837502e+00
134,1.0,1.669130606358858460e+00,1.669130606358858460e+00
135,1.0,1.707106781186547462e+00,1.707106781186547462e+00
136,0.0,1.743144825477394244e+00,1.743144825477394244e+00
137,0.0,1.777145961456971124e+00,1.777145961456971124e+00
138,0.0,1.809016994374947229e+00,1.809016994374947229e+00
139,0.0,1.838670567945424050e+00,1.838670567945424050e+00
140,0.0,1.866025403784438819e+00,1.866025403784438819e+00
141,0.0,1.891006524188367788e+00,1.891006524188367788e+00
142,0.0,1.913545457642600756e+00,1.913545457642600756e+00
143,0.0,1.933580426497201854e+00,1.933580426497201854e+00
144,0.0,1.951056516295153642e+00,1.951056516295153642e+00
145,0.0,1.965925826289068201e+00,1.965925826289068201e+00
146,0.0,1.978147600733805689e+00,1.978147600733805689e+00
147,0.0,1.987688340595137770e+00,1.987688340595137770e+00
148,0.0,1.994521895368273290e+00,1.994521895368273290e+00
149,0.0,1.998629534754573944e+00,1.998629534754573944e+00
150,0.0,2.000000000000000000e+00,2.000000000000000000e+00
151,0.0,1.998629534754573722e+00,1.998629534754573722e+00
152,0.0,1.994521895368273290e+00,1.994521895368273290e+00
153,0.0,1.987688340595137770e+00,1.987688340595137770e+00
154,0.0,1.978147600733805689e+00,1.978147600733805689e+00
155,0.0,1.965925826289068423e+00,1.965925826289068423e+00
156,1.0,1.951056516295153642e+00,1.951056516295153642e+00
157,1.0,1.933580426497201632e+00,1.933580426497201632e+00
158,1.0,1.913545457642600756e+00,1.913545457642600756e+00
159,1.0,1.891006524188367566e+00,1.891006524188367566e+00
160,1.0,1.866025403784439263e+00,1.866025403784439263e+00
161,1.0,1.838670567945424494e+00,1.838670567945424494e+00
162,1.0,1.809016994374947451e+00,1.809016994374947451e+00
163,1.0,1.777145961456970902e+00,1.777145961456970902e+00
164,1.0,1.743144825477394022e+00,1.743144825477394022e+00
165,1.0,1.707106781186547018e+00,1.707106781186547018e+00
166,1.0,1.669130606358858904e+00,1.669130606358858904e+00
167,1.0,1.629320391049837946e+00,1.629320391049837946e+00
168,1.0,1.587785252292473359e+00,1.587785252292473359e+00
169,1.0,1.544639035015026973e+00,1.544639035015026973e+00
170,1.0,1.499999999999999778e+00,1.499999999999999778e+00
171,1.0,1.453990499739546305e+00,1.453990499739546305e+00
172,1.0,1.406736643075801041e+00,1.406736643075801041e+00
173,1.0,1.358367949545300934e+00,1.358367949545300934e+00
174,1.0,1.309016994374947895e+00,1.309016994374947895e+00
175,1.0,1.258819045102520739e+00,1.258819045102520739e+00
176,1.0,1.207911690817759176e+00,1.207911690817759176e+00
177,1.0,1.156434465040230286e+00,1.156434465040230286e+00
178,1.0,1.104528463267654415e+00,1.104528463267654415e+00
179,1.0,1.052335956242944404e+00,1.052335956242944404e+00
180,1.0,1.000000000000000444e+00,1.000000000000000444e+00
181,1.0,9.476640437570562625e-01,9.476640437570562625e-01
182,1.0,8.954715367323462516e-01,8.954715367323462516e-01
183,1.0,8.435655349597686037e-01,8.435655349597686037e-01
184,1.0,7.920883091822416011e-01,7.920883091822416011e-01
185,1.0,7.411809548974799267e-01,7.411809548974799267e-01
186,1.0,6.909830056250529928e-01,6.909830056250529928e-01
187,1.0,6.416320504546997316e-01,6.416320504546997316e-01
188,1.0,5.932633569241996252e-01,5.932633569241996252e-01
189,1.0,5.460095002604528069e-01,5.460095002604528069e-01
190,1.0,5.000000000000008882e-01,5.000000000000008882e-01
191,1.0,4.553609649849734708e-01,4.553609649849734708e-01
192,1.0,4.122147477075271960e-01,4.122147477075271960e-01
193,1.0,3.706796089501626090e-01,3.706796089501626090e-01
194,1.0,3.308693936411416514e-01,3.308693936411416514e-01
195,1.0,2.928932188134520942e-01,2.928932188134520942e-01
196,1.0,2.568551745226064220e-01,2.568551745226064220e-01
197,1.0,2.228540385430295423e-01,2.228540385430295423e-01
198,1.0,1.909830056250527708e-01,1.909830056250527708e-01
199,1.0,1.613294320545760607e-01,1.613294320545760607e-01
200,1.0,1.339745962155612924e-01,1.339745962155612924e-01
201,1.0,1.089934758116318791e-01,1.089934758116318791e-01
202,1.0,8.645454235739946647e-02,8.645454235739946647e-02
203,1.0,6.641957350279847905e-02,6.641957350279847905e-02
204,1.0,4.894348370484657984e-02,4.894348370484657984e-02
205,1.0,3.407417371093168779e-02,3.407417371093168779e-02
206,1.0,2.185239926619431117e-02,2.185239926619431117e-02
207,1.0,1.231165940486222965e-02,1.231165940486222965e-02
208,1.0,5.478104631726821161e-03,5.478104631726821161e-03
209,1.0,1.370465245426166767e-03,1.370465245426166767e-03
210,1.0,0.000000000000000000e+00,0.000000000000000000e+00
211,1.0,1.370465245426166767e-03,1.370465245426166767e-03
212,1.0,5.478104631726710139e-03,5.478104631726710139e-03
213,1.0,1.231165940486234067e-02,1.231165940486234067e-02
214,1.0,2.185239926619420014e-02,2.185239926619420014e-02
215,1.0,3.407417371093157676e-02,3.407417371093157676e-02
216,1.0,4.894348370484624677e-02,4.894348370484624677e-02
217,1.0,6.641957350279814598e-02,6.641957350279814598e-02
218,1.0,8.645454235739913340e-02,8.645454235739913340e-02
